0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:39:58 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 200 5418
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:40:07 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:40:07 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 200 5418
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:40:28 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:40:28 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 200 5432
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:40:29 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:40:29 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:41:15 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:41:15 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 200 5399
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:41:24 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:41:25 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 200 5399
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:41:34 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:41:34 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 200 5399
